asal daerah,asal instansi,jenis file,isi file,kondisi robots.txt,alamat web
Nasional,Pemerintah Nasional,excel,informasi kritis,kosong,https://ppid.kemendagri.go.id
Papua,Pemerintah Daerah,excel,informasi kritis,kosong,https://www.papua.go.id
Sumbar,Pemerintah Daerah,excel,informasi kritis,tidak ada,https://www.sumbarprov.go.id
Buton,Pemerintah Daerah,excel,informasi kritis,kosong,https://ppid.butonkab.go.id
Barito Utara,Pengadilan Negeri,excel,Informasi umum,kosong,https://pn-muarateweh.go.id
Sukoharjo,Pemerintah Daerah,excel,informasi kritis,tidak ada,https://sukoharjo.sukoharjokab.go.id
Karimunjawa,Pemerintah Daerah,excel,informasi kritis,tidak ada,https://tnkarimunjawa.id
Buleleng,Pemerintah Daerah,excel,informasi kritis,tidak ada,https://gerokgak.bulelengkab.go.id
Buleleng,Pemerintah Daerah,excel,informasi kritis,tidak ada,https://seririt.bulelengkab.go.id
Trenggalek,Pemerintah Daerah,excel,informasi kritis,tidak ada,https://karangturi-munjungan.trenggalekkab.go.id
Jawa Barat,Sekolah,excel,lain-lain,tidak ada,http://smkpgri1gantar.sch.id
Mataram,Perguruan Tinggi,excel,informasi kritis,kosong,https://journal.ummat.ac.id
Diponegoro,Perguruan Tinggi,excel,Informasi umum,kosong,https://uppm.ft.undip.ac.id
Nasional,BUMN,excel,lain-lain,tidak ada,https://eproc.pln.co.id
Nasional,Pemerintah Nasional,excel,lain-lain,cukup,https://pajak.go.id
Sumatera,Perguruan Tinggi,excel,informasi kritis,kosong,https://pmb.unpra.ac.id/
Banjarmasin,Perguruan Tinggi,excel,informasi kritis,tidak ada,https://ulm.ac.id/
Jakarta,Perguruan Tinggi,excel,lain-lain,tidak ada,https://service-siakad.unj.ac.id
Aceh,Perguruan Tinggi,excel,Informasi umum,tidak ada,https://uniki.ac.id
Nasional,BUMN,excel,lain-lain,cukup,https://pipamigas.net
Nasional,Pemerintah Nasional,excel,lain-lain,tidak ada,https://binalattas.kemnaker.go.id
Jawa Timur,Pemerintah Daerah,excel,Informasi umum,cukup,https://bappeda.jatimprov.go.id
Nasional,BUMN,excel,Informasi umum,tidak ada,http://www.speedupretail.com
Diponegoro,Perguruan Tinggi,excel,informasi kritis,tidak ada,https://fpp.undip.ac.id
Malang,Perguruan Tinggi,excel,informasi kritis,tidak ada,https://kemahasiswaan.um.ac.id
